,property,units,n_points,value,PID,formula,polymername
1,Glass transition temp.,C,2,252.5,P390204,C26H22O4,"poly{[3-(4-hydroxyphenyl)-1,1,3-trimethyl-5-indanol]-alt-(terephthaloyl chloride)}"
1,Melting temp.,C,1,313.0,P390210,C20H18N2O6,"poly{[1,1'-(isophthaloyl)bis(1H-benzotriazole)]-alt-[N,N'-bis(2-hydroxyethyl)isophthamide]}"
1,Melting temp.,C,1,233.0,P390211,C20H18N2O6,"poly{[1,1'-(terephthaloyl)bis(1H-benzotriazole)]-alt-[N,N'-bis(2-hydroxyethyl)isophthamide]}"
1,Melting temp.,C,1,323.0,P390212,C20H18N2O6,"poly{[1,1'-(isophthaloyl)bis(1H-benzotriazole)]-alt-[N,N'-bis(2-hydroxyethyl)terephthamide]}"
1,Melting temp.,C,1,332.0,P390213,C20H18N2O6,"poly{[1,1'-(terephthaloyl)bis(1H-benzotriazole)]-alt-[N,N'-bis(2-hydroxyethyl)terephthamide]}"
1,Glass transition temp.,C,1,237.0,P390214,C30H20N4O6,"poly{[4,4'-(3-oxo-1,3-dihydroisobenzofuran-1,1-diyl)dibenzohidrazide]-alt-(terephthaloyl dichloride)}"
1,Glass transition temp.,C,1,252.0,P390216,C24H20O8,"poly[(3,3',5,5'-tetramethoxybiphenyl-4,4'-diol)-alt-(isophthaloyl dichloride)]"
1,Glass transition temp.,C,1,94.0,P390217,C26H32O8,"poly[(3,3',5,5'-tetramethoxybiphenyl-4,4'-diol)-alt-(decanedioyl dichloride)]"
1,Glass transition temp.,C,1,267.0,P390218,C20H12O4,"poly[(biphenyl-4,4'-diol)-alt-(terephthalic acid)]"
2,Melting temp.,C,2,543.5,P390218,C20H12O4,"poly[(biphenyl-4,4'-diol)-alt-(terephthalic acid)]"
1,Glass transition temp.,C,2,102.0,P390219,C24H14O5,poly{hydroquinone-alt-[2-(2-naphthyloxy)terephthaloyl dichloride]}
2,Melting temp.,C,2,328.5,P390219,C24H14O5,poly{hydroquinone-alt-[2-(2-naphthyloxy)terephthaloyl dichloride]}
1,Glass transition temp.,C,1,148.0,P390220,C24H14O4S,"poly{(1,4-phenylene diacetate)-alt-[2-(2-naphthylsulfanyl)terephthalic acid]}"
2,Melting temp.,C,1,297.0,P390220,C24H14O4S,"poly{(1,4-phenylene diacetate)-alt-[2-(2-naphthylsulfanyl)terephthalic acid]}"
1,Glass transition temp.,C,1,141.0,P390221,C30H18O4S,"poly{[4,4'-bis(acetyloxy)biphenyl]-alt-[2-(2-naphthylsulfanyl)terephthalic acid]}"
2,Melting temp.,C,2,252.0,P390221,C30H18O4S,"poly{[4,4'-bis(acetyloxy)biphenyl]-alt-[2-(2-naphthylsulfanyl)terephthalic acid]}"
1,Glass transition temp.,C,1,181.0,P390222,C20H12O4S,"poly{oxy-1,4-phenyleneoxy[2-(phenylsulfanyl)terephthaloyl]}"
2,Melting temp.,C,1,331.0,P390222,C20H12O4S,"poly{oxy-1,4-phenyleneoxy[2-(phenylsulfanyl)terephthaloyl]}"
1,Glass transition temp.,C,1,134.0,P390223,C21H14O4S,"poly{(1,4-phenylene diacetate)-alt-[2-(p-tolylsulfanyl)terephthalic acid]}"
2,Melting temp.,C,1,303.0,P390223,C21H14O4S,"poly{(1,4-phenylene diacetate)-alt-[2-(p-tolylsulfanyl)terephthalic acid]}"
1,Glass transition temp.,C,1,140.0,P390224,C20H11ClO4S,"poly{(1,4-phenylene diacetate)-alt-[2-(4-chlorophenylsulfanyl)terephthalic acid]}"
2,Melting temp.,C,1,308.0,P390224,C20H11ClO4S,"poly{(1,4-phenylene diacetate)-alt-[2-(4-chlorophenylsulfanyl)terephthalic acid]}"
1,Glass transition temp.,C,5,26.5,P390225,C5H5F3O2,poly[(R)-4-trichloromethyloxetan-2-one]
2,Melting temp.,C,3,89.0,P390225,C5H5F3O2,poly[(R)-4-trichloromethyloxetan-2-one]
