,property,units,n_points,value,PID,formula,polymername
1,Glass transition temp.,C,2,-71.0,P070136,C13H22O5,poly(oxydiethylene azelate)
2,Melting temp.,C,1,-33.5,P070136,C13H22O5,poly(oxydiethylene azelate)
1,Glass transition temp.,C,2,-74.5,P070137,C14H24O5,poly(oxydiethylene sebacate)
2,Melting temp.,C,6,40.0,P070137,C14H24O5,poly(oxydiethylene sebacate)
1,Melting temp.,C,4,31.5,P070138,C16H28O6,poly[(triethylene glycol)-alt-(decanedioic acid)]
1,Glass transition temp.,C,8,87.5,P070140,C8H6O5,"poly(ethylene-2,5-furandicarboxylate)"
2,Melting temp.,C,7,202.0,P070140,C8H6O5,"poly(ethylene-2,5-furandicarboxylate)"
4,Tensile modulus,GPa,3,2.75,P070140,C8H6O5,"poly(ethylene-2,5-furandicarboxylate)"
1,Glass transition temp.,C,1,25.0,P070141,C14H16O5,poly(dipropylene glycol phthalate)
1,Glass transition temp.,C,1,16.0,P070142,C12H12O5,poly(oxydiethylene isophthalate)
2,Melting temp.,C,3,72.5,P070142,C12H12O5,poly(oxydiethylene isophthalate)
1,Glass transition temp.,C,3,76.5,P070143,C9H8O3,poly(ethylene p-oxybenzoate)
2,Melting temp.,C,6,218.5,P070143,C9H8O3,poly(ethylene p-oxybenzoate)
4,Tensile modulus,GPa,4,6.8500000000000005,P070143,C9H8O3,poly(ethylene p-oxybenzoate)
1,Melting temp.,C,1,85.0,P070144,C13H14O5,poly[ethylene p-(carboxyphenoxy)butyrate]
1,Melting temp.,C,1,45.0,P070145,C15H18O5,poly[ethylene p-(carboxyphenoxy)caproate]
1,Melting temp.,C,1,55.0,P070146,C14H16O5,poly[ethylene p-(carboxyphenoxy)valerate]
1,Melting temp.,C,1,55.0,P070147,C16H20O5,poly[ethylene p-(carboxyphenoxy)heptanoate]
1,Melting temp.,C,1,65.0,P070148,C20H28O5,poly[ethylene p-(carboxyphenoxy)undecanoate]
1,Melting temp.,C,1,50.0,P070149,C15H18O5,poly[hexamethylene p-(carboxyphenoxy)acetate]
1,Melting temp.,C,1,60.0,P070151,C19H26O5,poly[hexamethylene p-(carboxyphenoxy)caproate]
1,Melting temp.,C,1,60.0,P070152,C18H24O5,poly[hexamethylene p-(carboxyphenoxy)valerate]
1,Melting temp.,C,1,72.0,P070155,C24H36O5,poly[hexamethylene p-(carboxyphenoxy)undecanoate]
1,Melting temp.,C,2,172.0,P070156,C10H10O3,poly(ethylene p-oxyphenylene acetate)
1,Melting temp.,C,1,140.0,P070157,C11H10O5,poly[ethylene p-(carboxyphenoxy)acetate]
1,Glass transition temp.,C,1,74.0,P070158,C16H12O5,"poly[(ethylene glycol)-alt-(4,4'-oxydibenzoyl dichloride)]"
2,Melting temp.,C,1,134.0,P070158,C16H12O5,"poly[(ethylene glycol)-alt-(4,4'-oxydibenzoyl dichloride)]"
1,Melting temp.,C,7,262.5,P070159,C18H16O6,"poly[ethylene 4,4'-(ethylenedioxy)dibenzoate]"
1,Melting temp.,C,1,141.0,P070160,C18H16O6,"poly[ethylene 3,3'-(ethylenedioxy)dibenzoate]"
1,Melting temp.,C,1,100.0,P070162,C21H22O8,"poly{2,2'-[propane-1,3-diylbis(oxy-3-methoxy-1,4-phenylenecarbonyloxy)]diethanol}"
1,Glass transition temp.,C,1,53.0,P070163,C20H20O6,"poly{(ethylene glycol)-alt-[4,4'-(butane-1,4-diyldioxy)dibenzoic acid]}"
2,Melting temp.,C,2,252.0,P070163,C20H20O6,"poly{(ethylene glycol)-alt-[4,4'-(butane-1,4-diyldioxy)dibenzoic acid]}"
1,Melting temp.,C,1,100.0,P070164,C20H20O6,"poly[ethylene 3,3'-(tetramethylenedioxy) dibenzoate]"
1,Melting temp.,C,1,106.5,P070166,C22H24O9,"poly{bis(2-hydroxyethyl) 3,3'-dimethoxy-4,4'-[oxybis(ethyleneoxy)]dibenzoate}"
1,Glass transition temp.,C,1,26.0,P070167,C19H18O5,"poly[(pentane-1,5-diol)-alt-(4,4'-oxydibenzoyl dichloride)]"
2,Melting temp.,C,1,70.0,P070167,C19H18O5,"poly[(pentane-1,5-diol)-alt-(4,4'-oxydibenzoyl dichloride)]"
1,Glass transition temp.,C,1,15.0,P070168,C20H20O5,"poly[(hexane-1,6-diol)-alt-(4,4'-oxydibenzoyl dichloride)]"
2,Melting temp.,C,1,74.0,P070168,C20H20O5,"poly[(hexane-1,6-diol)-alt-(4,4'-oxydibenzoyl dichloride)]"
1,Melting temp.,C,1,175.0,P070169,C22H24O6,"poly[hexamethylene 4,4'-(ethylene dioxy)dibenzoate]"
1,Glass transition temp.,C,1,-50.0,P070319,C12H12O5,poly(diethylene glycol phthalate)
2,Melting temp.,C,2,10.5,P070319,C12H12O5,poly(diethylene glycol phthalate)
1,Melting temp.,C,1,105.0,P070320,C22H24O8,"poly{2,2'-[butane-1,3-diylbis(oxy-3-methoxy-1,4-phenylenecarbonyloxy)]diethanol}"
1,Glass transition temp.,C,2,-28.0,P070323,C6H8O5,poly(oxydiethylene oxalate)
2,Melting temp.,C,1,7.5,P070323,C6H8O5,poly(oxydiethylene oxalate)
1,Glass transition temp.,C,2,-41.5,P070324,C7H10O5,poly(diethylene glycol malonate)
2,Melting temp.,C,1,-14.5,P070324,C7H10O5,poly(diethylene glycol malonate)
1,Glass transition temp.,C,2,-29.0,P070325,C8H12O5,poly[oxyethyleneoxyethyleneoxy(2-methylpropanedioyl)]
1,Glass transition temp.,C,2,-38.0,P070326,C10H16O5,"poly[(2,2'-oxydiethanol)-alt-(dimethyl 2-propylpropanedioate)]"
1,Glass transition temp.,C,2,-47.0,P070327,C12H20O5,poly(oxyethyleneoxyethyleneoxy-2-pentylmalonyl)
1,Glass transition temp.,C,2,-58.0,P070328,C14H24O5,poly(oxydiethylene heptylmalonate)
1,Glass transition temp.,C,2,-59.0,P070329,C16H28O5,poly(oxydiethylene nonylmalonate)
1,Glass transition temp.,C,13,-43.5,P070330,C8H12O5,poly(oxydiethylene succinate)
2,Melting temp.,C,2,-9.5,P070330,C8H12O5,poly(oxydiethylene succinate)
1,Glass transition temp.,C,2,-55.0,P070331,C9H14O5,poly(oxydiethylene glutarate)
2,Melting temp.,C,3,-21.0,P070331,C9H14O5,poly(oxydiethylene glutarate)
1,Glass transition temp.,C,9,-56.0,P070332,C10H16O5,"poly[(2,2'-oxydiethanol)-alt-(adipic acid)"
2,Melting temp.,C,4,-26.5,P070332,C10H16O5,"poly[(2,2'-oxydiethanol)-alt-(adipic acid)"
1,Glass transition temp.,C,4,-51.0,P070333,C11H18O5,poly(oxydiethylene pimelate)
2,Melting temp.,C,1,-29.0,P070333,C11H18O5,poly(oxydiethylene pimelate)
1,Glass transition temp.,C,2,-66.0,P070334,C12H20O5,poly(oxydiethylene suberate)
2,Melting temp.,C,2,31.5,P070334,C12H20O5,poly(oxydiethylene suberate)
1,Glass transition temp.,C,1,-68.0,P070335,C22H40O5,poly(diethylene glycol octadecanedioate)
1,Glass transition temp.,C,2,95.0,P070337,C20H20O4,"poly[oxyethyleneoxycarbonyl-1,4-phenylene(ethylmethylmethylene)-1,4-phenylenecarbonyl]"
3,Tensile modulus,GPa,1,2.3,P070337,C20H20O4,"poly[oxyethyleneoxycarbonyl-1,4-phenylene(ethylmethylmethylene)-1,4-phenylenecarbonyl]"
1,Glass transition temp.,C,1,57.0,P070433,C17H14O5,"poly(trimethylene 4,4'-oxydibenzoate)"
2,Melting temp.,C,1,90.0,P070433,C17H14O5,"poly(trimethylene 4,4'-oxydibenzoate)"
1,Glass transition temp.,C,1,38.0,P070434,C18H16O5,"poly(tetramethylene 4,4'-oxydibenzoate)"
2,Melting temp.,C,1,88.0,P070434,C18H16O5,"poly(tetramethylene 4,4'-oxydibenzoate)"
1,Melting temp.,C,1,120.5,P070435,C34H48O6,"poly[octadecamethylene 4,4'-(ethylenedioxy)dibenzoate]"
1,Melting temp.,C,1,316.0,P070438,C23H18O6,"poly[p-(methyl)phenylene 4,4'-(ethylenedioxy)dibenzoate]"
1,Glass transition temp.,C,3,370.0,P070460,C22H12N2O3,"poly[1,3,4-oxadiazole-2,5-diyl-1,4-phenylene(3-oxo-1,3-dihydroisobenzofuran-1,1-diyl)-1,4-phenylene]"
1,Melting temp.,C,3,240.0,P070516,C42H40O8,"poly{4,4'-[4',4-(decamethylenedioxy)diphenylenedioxy]diphenylene terephthalate}"
1,Melting temp.,C,10,249.0,P070517,C30H32O6,"poly{[4,4'-(decane-1,10-diyldioxy)diphenol]-alt-(terephthaloyl dichloride)}"
3,Tensile modulus,GPa,2,1.22,P070517,C30H32O6,"poly{[4,4'-(decane-1,10-diyldioxy)diphenol]-alt-(terephthaloyl dichloride)}"
1,Melting temp.,C,1,108.0,P070518,C30H32O6,"poly[3,3'-(decamethylenedioxy)diphenylene terephthalate]"
1,Melting temp.,C,1,135.0,P070519,C26H32O6,"poly[decamethylene 4,4'-(ethylenedioxy)dibenzoate]"
1,Melting temp.,C,4,157.5,P070520,C30H30Cl2O6,"poly[4,4'-(decamethylenedioxy)dichlorodiphenylene terephthalate]"
1,Melting temp.,C,1,62.5,P070521,C14H24O5,poly(decamethylene oxydiacetate)
1,Melting temp.,C,1,87.5,P070528,C24H44O5,poly(icosamethylene oxydiacetate)
1,Glass transition temp.,C,1,-49.0,P070529,C12H20O6,poly[(triethylene glycol)-alt-(adipic acid)]
2,Melting temp.,C,4,-34.5,P070529,C12H20O6,poly[(triethylene glycol)-alt-(adipic acid)]
1,Melting temp.,C,1,-41.5,P070530,C15H26O6,poly[(triethylene glycol)-alt-(nonanedioic acid)]
1,Melting temp.,C,1,39.5,P070531,C20H20O6,"poly[(triethylene glycol)-alt-(dimethyl biphenyl-2,2'-dicarboxylate)]"
1,Melting temp.,C,1,44.5,P070532,C20H20O6,"poly[(ethylenedioxy)diethylene 3,3'-dibenzoate]"
1,Glass transition temp.,C,7,18.5,P070533,C20H20O6,"poly[(ethylenedioxy)diethylene 4,4'-dibenzoate]"
2,Melting temp.,C,2,97.0,P070533,C20H20O6,"poly[(ethylenedioxy)diethylene 4,4'-dibenzoate]"
1,Melting temp.,C,3,-24.0,P070534,C11H18O6,poly[(ethylenedioxy)diethylene glutarate]
1,Melting temp.,C,1,62.5,P070535,C14H16O6,poly[(ethylenedioxy)diethylene isophthalate]
1,Melting temp.,C,1,-31.0,P070536,C9H14O6,poly[(ethylenedioxy)diethylene malonate]
1,Melting temp.,C,1,-12.0,P070537,C8H12O6,poly[(ethylenedioxy)diethylene oxalate]
1,Glass transition temp.,C,2,-44.5,P070538,C13H22O6,poly[(ethylenedioxy)diethylene pimelate]
2,Melting temp.,C,1,-39.5,P070538,C13H22O6,poly[(ethylenedioxy)diethylene pimelate]
1,Melting temp.,C,1,-38.5,P070539,C14H24O6,poly[(ethylenedioxy)diethylene suberate]
1,Melting temp.,C,2,-21.0,P070540,C10H16O6,poly[(ethylenedioxy)diethylene succinate]
1,Melting temp.,C,2,62.5,P070541,C14H16O6,poly[(ethylenedioxy)diethylene terephthalate]
1,Melting temp.,C,1,205.0,P070546,C20H20O8,"poly{(ethylene glycol)-alt-[2,2'-dimethoxy-4,4'-(ethylenedioxy)dibenzoic acid]}"
1,Melting temp.,C,1,132.5,P070547,C20H20O6,"poly((ethylene glycol)-alt-{4,4'-[ethylenebis(oxymethylene)]dibenzoic acid})"
1,Melting temp.,C,1,18.5,P070550,C6H8O5,poly[(ethylene glycol)-alt-(dimethyl oxydiacetate)]
1,Melting temp.,C,1,19.5,P070551,C7H10O5,"poly[(propane-1,2-diol)-alt-(dimethyl oxydiacetate)]"
1,Melting temp.,C,1,151.5,P070553,C9H7ClO3,poly(ethylene m-chloro-p-oxybenzoate)
1,Melting temp.,C,1,282.5,P070554,C9H7ClO3,poly(ethylene o-chloro-p-oxybenzoate)
1,Melting temp.,C,1,156.0,P070555,C10H10O3,poly(ethylene m-methyl-p-oxybenzoate)
1,Melting temp.,C,1,291.0,P070556,C10H10O3,poly(ethylene o-methyl-p-oxybenzoate)
1,Melting temp.,C,1,25.5,P070558,C16H28O8S,poly[(ethylenedioxy)diethylene sulfonyldivalerate]
1,Melting temp.,C,2,-38.0,P070559,C16H28O6S,poly[(ethylenedioxy)diethylene thiodivalerate]
1,Melting temp.,C,1,49.0,P070560,C10H16O5,poly(hexamethylene oxydiacetate)
1,Glass transition temp.,C,40,-13.0,P070561,C4H6O3,poly(5-hydroxy-3-oxavaleric acid)
2,Melting temp.,C,36,110.0,P070561,C4H6O3,poly(5-hydroxy-3-oxavaleric acid)
4,Tensile modulus,GPa,5,0.485,P070561,C4H6O3,poly(5-hydroxy-3-oxavaleric acid)
1,Glass transition temp.,C,1,-26.0,P070562,C14H24O4,"poly[5-hydroxymethylene-5-methyl-2-(1,3-dioxane)-caprylic acid]"
2,Melting temp.,C,1,81.0,P070562,C14H24O4,"poly[5-hydroxymethylene-5-methyl-2-(1,3-dioxane)-caprylic acid]"
1,Glass transition temp.,C,1,-44.0,P070563,C15H26O4,"poly[4-hydroxytetramethylene-2-(1,3-dioxolane)-caprylic acid]"
2,Melting temp.,C,1,23.0,P070563,C15H26O4,"poly[4-hydroxytetramethylene-2-(1,3-dioxolane)-caprylic acid]"
1,Melting temp.,C,2,74.5,P070565,C18H16O5,"poly(oxydiethylene 2,2'-dibenzoate)"
1,Melting temp.,C,1,72.0,P070566,C18H16O5,"poly(oxydiethylene 3,3'-dibenzoate)"
1,Glass transition temp.,C,7,61.0,P070567,C18H16O5,"poly(oxydiethylene 4,4'-dibenzoate)"
2,Melting temp.,C,2,143.5,P070567,C18H16O5,"poly(oxydiethylene 4,4'-dibenzoate)"
1,Melting temp.,C,1,95.0,P070568,C20H20O5,"poly[(2,2'-oxydiethanol)-alt-(4,4'-ethylenedibenzoic acid)]"
1,Melting temp.,C,1,135.5,P070569,C19H18O5,"poly[(2,2'-oxydiethanol)-alt-(4,4'-methylenedibenzoic acid)]"
1,Melting temp.,C,1,4.0,P070570,C8H12O6,"poly[(2,2'-oxydiethanol)-alt-(dimethyl oxydiacetate)]"
1,Melting temp.,C,1,66.5,P070571,C14H24O7S,"poly[(2,2'-oxydiethanol)-alt-(5,5'-sulfonyldipentanoic acid)]"
1,Glass transition temp.,C,5,11.5,P070572,C12H12O5,"poly[(2,2'-oxydiethanol)-alt-(terephthalic acid)]"
2,Melting temp.,C,9,101.5,P070572,C12H12O5,"poly[(2,2'-oxydiethanol)-alt-(terephthalic acid)]"
1,Melting temp.,C,3,-36.5,P070573,C14H24O5S,"poly[(2,2'-oxydiethanol)-alt-(5,5'-sulfanediyldipropanoic acid)]"
1,Melting temp.,C,1,132.5,P070580,C34H30N2O7,"poly[4,4'-oxydiphenylene-4,4'-di(3,3'-dimethoxy)benzylidenimino adipate]"
1,Melting temp.,C,1,180.0,P070581,C36H26N2O7,"poly[4,4'-oxydiphenylene 4,4'-di(3,3'-dimethoxy)benzylidenimino isophthalate]"
1,Melting temp.,C,1,132.5,P070582,C38H38N2O7,"poly[4,4'-oxydiphenylene 4,4'-di(3,3'-dimethoxy)benzylidenimino sebacate]"
1,Melting temp.,C,1,31.5,P070604,C9H14O5,poly(pentamethylene oxydiacetate)
1,Melting temp.,C,1,212.0,P070606,C25H22O6,"poly[p-(methyl)phenylene 4,4'-(tetramethylenedioxy)dibenzoate]"
1,Melting temp.,C,1,180.0,P070617,C20H20O6,"poly{(butane-1,4-diol)-alt-[4,4'-(ethylenedioxy)dibenzoic acid]}"
1,Melting temp.,C,1,30.5,P070621,C7H10O5,poly(trimethylene oxydiacetate)
1,Melting temp.,C,1,5.5,P070622,C8H12O5,poly(1-methyltrimethylene oxydiacetate)
1,Glass transition temp.,C,1,30.0,P070623,C21H12F10O5,"poly{(3-oxa-2,2,4,4-tetrafluoropentane-1,5-diol)-alt-[3,3'-(hexafluoropropane-1,3-diyl)dibenzoic acid]}"
1,Glass transition temp.,C,1,28.0,P070624,C12H8F4O5,"poly[(3-oxa-2,2,4,4-tetrafluoropentane-1,5-diol)-alt-(isophthalic acid)]"
1,Glass transition temp.,C,1,14.0,P070625,C17H18F4O6,"poly{(3-oxa-2,2,4,4-tetrafluoropentane-1,5-diol)-alt-[5-(pentyloxy)isophthalic acid]}"
1,Glass transition temp.,C,2,20.0,P070626,C19H12F6O5,"poly[(2,2,3,3,4,4-hexafluoropentane-1,5-diol)-alt-(3,3'-oxybis(benzoyl chloride)]"
2,Melting temp.,C,2,115.0,P070626,C19H12F6O5,"poly[(2,2,3,3,4,4-hexafluoropentane-1,5-diol)-alt-(3,3'-oxybis(benzoyl chloride)]"
1,Glass transition temp.,C,2,164.5,P070627,C20H12O5,"poly[(4,4'-oxydiphenol)-alt-(isophthalic acid)]"
2,Melting temp.,C,2,270.5,P070627,C20H12O5,"poly[(4,4'-oxydiphenol)-alt-(isophthalic acid)]"
1,Glass transition temp.,C,1,126.0,P070628,C25H22O6,"poly{(4,4'-oxydiphenol)-alt-[5-(pentyloxy)isophthaloyl dichloride]}"
2,Melting temp.,C,1,278.0,P070628,C25H22O6,"poly{(4,4'-oxydiphenol)-alt-[5-(pentyloxy)isophthaloyl dichloride]}"
1,Melting temp.,C,1,19.0,P070647,C26H44O9,"poly[ethylene 4,4'-(oxydimethylene)-di-2-(1,3-dioxolane)-caprylate]"
1,Glass transition temp.,C,1,0.0,P070648,C25H42O8,"poly(2-hydroxyethyl methyl 2,4,8,10-tetraoxaspiro[5.5]undecane-3,9-dicaprylate)"
2,Melting temp.,C,1,88.0,P070648,C25H42O8,"poly(2-hydroxyethyl methyl 2,4,8,10-tetraoxaspiro[5.5]undecane-3,9-dicaprylate)"
1,Glass transition temp.,C,4,15.5,P070686,C20H20O5,"poly[oxybis(trimethylene) p,p'-bibenzoate]"
2,Melting temp.,C,1,101.0,P070686,C20H20O5,"poly[oxybis(trimethylene) p,p'-bibenzoate]"
1,Melting temp.,C,1,203.0,P074244,C42H48O8,"poly[(4,4'-oxydianiline)-alt-(5-perfluorobutylisophthaloyl dichloride)]"
1,Glass transition temp.,C,1,64.0,P074254,C42H48O10,"poly((4,4'-oxydianiline)-alt-{4,4'-[ethylenebis(oxyethyleneoxy)]dibenzoyl dichloride})"
2,Melting temp.,C,1,146.0,P074254,C42H48O10,"poly((4,4'-oxydianiline)-alt-{4,4'-[ethylenebis(oxyethyleneoxy)]dibenzoyl dichloride})"
1,Glass transition temp.,C,1,70.0,P074381,C31H32O7,"poly[oxy(2-propanoyl-1,4-phenylene)oxycarbonyl-1,4-phenyleneoxyoctane-1,8-diyloxy-1,4-phenylenecarbonyl]"
1,Melting temp.,C,1,220.0,P074553,C26H16O6S2,poly(phenolphthalein m-benzenedisulfonate)
1,Melting temp.,C,1,316.0,P074554,C32H20O6S2,"poly(phenolphthalein 4,4'-biphenyldisulfonate)"
1,Glass transition temp.,C,1,276.0,P079048,C28H14O7,poly{fluorescein-alt-(isophthaloyl dichloride)]
2,Melting temp.,C,1,335.0,P079048,C28H14O7,poly{fluorescein-alt-(isophthaloyl dichloride)]
1,Glass transition temp.,C,1,40.0,P080133,C18H32N2O4S,"poly[(2,5-dimethylpiperazine-2,5-diyl)carbonyloxy(2,2-dimethylpropane-1,3-diyl)sulfanediyl(2,2-dimethylpropane-1,3-diyl)oxycarbonyl]"
1,Melting temp.,C,2,55.5,P080149,C20H36O4S,poly(decamethylene thiodivalerate)
1,Melting temp.,C,3,77.5,P080150,C30H56O4S,poly(icosamethylene thiodivalerate)
1,Melting temp.,C,3,45.0,P080158,C16H28O4S,"poly[(hexane-1,6-diol)-alt-(5,5'-sulfanediyldipropanoic acid)]"
1,Melting temp.,C,2,41.0,P080166,C15H26O4S,"poly[(pentane-1,5-diol)-alt-(5,5'-sulfanediyldipropanoic acid)]"
1,Melting temp.,C,2,-1.5,P080175,C13H22O4S,poly(trimethylene thiodivalerate)
1,Melting temp.,C,3,-5.0,P080178,C12H20O4S,poly(ethylene thiodivalerate)
1,Melting temp.,C,3,-36.5,P080179,C13H22O4S,poly(methylethylene thiodivalerate)
1,Melting temp.,C,2,-37.5,P080180,C14H24O4S,poly(1-methyltrimethylene thiodivalerate)
1,Glass transition temp.,C,1,135.0,P084392,C41H26O8S2,"poly(methylhydroquinone-alt-{4,4'-[terephthaloylbis(oxy-m-phenylenethio)]dibenzoic acid})"
1,Glass transition temp.,C,2,106.5,P084393,C41H26O8S2,"poly(methylhydroquinone-alt-{3,3'-[terephthaloylbis(oxy-m-phenylenesulphanediyl)]dibenzoic acid})"
2,Melting temp.,C,2,292.0,P084393,C41H26O8S2,"poly(methylhydroquinone-alt-{3,3'-[terephthaloylbis(oxy-m-phenylenesulphanediyl)]dibenzoic acid})"
1,Glass transition temp.,C,1,128.0,P084394,C46H28O8S2,"poly(methylhydroquinone-alt-{3,3'-[terephthaloylbis(oxy-p-phenylenesulphanediyl)]dibenzoic acid})"
1,Melting temp.,C,1,311.0,P084395,C40H24O8S2,"poly(hydroquinone-alt-{3,3'-[terephthaloylbis(oxy-p-phenylenesulphanediyl)]dibenzoic acid})"
1,Melting temp.,C,1,52.5,P084579,C10H10F6O4S2,"poly-hexafluoropentylene-3,5-dithiaheptanedicarboxylate"
1,Melting temp.,C,1,72.5,P084580,C11H10F8O4S2,"poly[(2,2,3,3,4,4,5,5-octafluorohexane-1,6-diol)-alt-(3,5-dithiaheptanedioic acid)]"
1,Melting temp.,C,5,166.0,P090001,C4H4O4,poly(ethylene oxalate)
1,Melting temp.,C,2,77.5,P090002,C12H20O4,poly(decamethylene oxalate)
1,Glass transition temp.,C,40,-14.0,P090003,C6H8O4,poly(ethylene succinate)
2,Melting temp.,C,55,102.0,P090003,C6H8O4,poly(ethylene succinate)
4,Tensile modulus,GPa,5,0.43,P090003,C6H8O4,poly(ethylene succinate)
1,Glass transition temp.,C,9,-34.0,P090004,C7H10O4,"poly[(propane-1,3-diol)-alt-(succinic acid)]"
2,Melting temp.,C,12,47.5,P090004,C7H10O4,"poly[(propane-1,3-diol)-alt-(succinic acid)]"
1,Glass transition temp.,C,85,13.5,P090005,C8H12O4,"poly[(butane-1,4-diol)-alt-(succinic acid)]"
2,Melting temp.,C,172,109.0,P090005,C8H12O4,"poly[(butane-1,4-diol)-alt-(succinic acid)]"
4,Tensile modulus,GPa,61,0.9003,P090005,C8H12O4,"poly[(butane-1,4-diol)-alt-(succinic acid)]"
1,Melting temp.,C,5,70.5,P090006,C14H24O4,"poly[(decane-1,10-diol)-alt-(succinic acid)]"
1,Glass transition temp.,C,3,-34.0,P090007,C8H12O4,"poly[(propane-1,3-diol)-alt-(glutaric acid)]"
2,Melting temp.,C,8,86.5,P090007,C8H12O4,"poly[(propane-1,3-diol)-alt-(glutaric acid)]"
1,Melting temp.,C,5,57.5,P090008,C15H26O4,"poly[(decane-1,10-diol)-alt-(glutaric acid)]"
1,Glass transition temp.,C,19,-68.0,P090009,C8H12O4,poly(ethylene adipate)
2,Melting temp.,C,34,92.0,P090009,C8H12O4,poly(ethylene adipate)
1,Glass transition temp.,C,6,-41.0,P090010,C9H14O4,"poly[(propane-1,3-diol)-alt-(adipic acid)]"
2,Melting temp.,C,15,83.0,P090010,C9H14O4,"poly[(propane-1,3-diol)-alt-(adipic acid)]"
1,Glass transition temp.,C,6,10.5,P090033,C18H24O4,"poly[(terephthalic acid)-alt-(decane-1,10-diol)]"
2,Melting temp.,C,13,131.0,P090033,C18H24O4,"poly[(terephthalic acid)-alt-(decane-1,10-diol)]"
1,Glass transition temp.,C,25,79.5,P090034,C16H18O4,"poly(1,4-cyclohexylenedimethylene terephthalate)"
2,Melting temp.,C,15,284.0,P090034,C16H18O4,"poly(1,4-cyclohexylenedimethylene terephthalate)"
4,Tensile modulus,GPa,9,1.4,P090034,C16H18O4,"poly(1,4-cyclohexylenedimethylene terephthalate)"
1,Glass transition temp.,C,3,100.0,P090037,C21H18Cl4O4,"poly[4,4'-(3,3',5,5'-tetrachloro)isopropylidenediphenylene adipate]"
2,Melting temp.,C,17,265.0,P090037,C21H18Cl4O4,"poly[4,4'-(3,3',5,5'-tetrachloro)isopropylidenediphenylene adipate]"
1,Glass transition temp.,C,1,150.0,P090038,C23H24O4,"poly{[4,4'-(1-methylethane-1,1-diyl)diphenol]-alt-(cyclohexane-1,4-dicarbonyl dichloride)}"
1,Glass transition temp.,C,13,193.5,P090039,C23H18O4,poly(bisphenol A terephthalate)
2,Melting temp.,C,5,348.5,P090039,C23H18O4,poly(bisphenol A terephthalate)
1,Glass transition temp.,C,1,150.0,P090040,C21H14O4,"poly[(4,4'-methylenediphenol)-alt-(cyclohexane-1,4-dicarbonyl dichloride)]"
2,Melting temp.,C,1,348.0,P090040,C21H14O4,"poly[(4,4'-methylenediphenol)-alt-(cyclohexane-1,4-dicarbonyl dichloride)]"
1,Glass transition temp.,C,12,152.0,P090041,C23H18O4,poly(bisphenol A isophthalate)
2,Melting temp.,C,5,280.0,P090041,C23H18O4,poly(bisphenol A isophthalate)
1,Glass transition temp.,C,1,119.0,P090042,C14H10O4,"poly[(ethylene glycol)-alt-(dimethyl naphthalene-2,7-dicarboxylate)]"
2,Melting temp.,C,1,270.0,P090042,C14H10O4,"poly[(ethylene glycol)-alt-(dimethyl naphthalene-2,7-dicarboxylate)]"
1,Glass transition temp.,C,95,125.5,P090043,C14H10O4,"poly(ethylene naphthalene-2,6-dicarboxylate)"
2,Melting temp.,C,83,281.0,P090043,C14H10O4,"poly(ethylene naphthalene-2,6-dicarboxylate)"
4,Tensile modulus,GPa,13,3.4555000000000002,P090043,C14H10O4,"poly(ethylene naphthalene-2,6-dicarboxylate)"
1,Glass transition temp.,C,1,-52.0,P090044,C22H36O5Si2,"poly({2,2,2',2'-tetramethyl-3,3'-[oxybis(dimethylsilylene)dipropanol}_&_(isophthalic acid))"
1,Glass transition temp.,C,1,19.0,P090046,C6H10OS,poly(6-mercaptocaproic acid)
2,Melting temp.,C,2,105.0,P090046,C6H10OS,poly(6-mercaptocaproic acid)
1,Glass transition temp.,C,1,-50.0,P090049,C10H16O4,poly(hexamethylene succinate)
2,Melting temp.,C,9,54.5,P090049,C10H16O4,poly(hexamethylene succinate)
1,Glass transition temp.,C,18,-80.5,P090051,C10H16O4,"poly[(butane-1,4-diol)-alt-(adipic acid)]"
2,Melting temp.,C,30,92.0,P090051,C10H16O4,"poly[(butane-1,4-diol)-alt-(adipic acid)]"
4,Tensile modulus,GPa,2,0.2585,P090051,C10H16O4,"poly[(butane-1,4-diol)-alt-(adipic acid)]"
1,Glass transition temp.,C,3,-71.0,P090052,C11H18O4,poly(pentamethylene adipate)
2,Melting temp.,C,5,38.0,P090052,C11H18O4,poly(pentamethylene adipate)
1,Glass transition temp.,C,1,77.0,P090053,C12H18O4,"poly(1,4-cyclohexylene adipate)"
2,Melting temp.,C,1,224.0,P090053,C12H18O4,"poly(1,4-cyclohexylene adipate)"
1,Glass transition temp.,C,4,-31.0,P090055,C14H20O4,"poly[(decanedioic acid)-alt-(but-2-yne-1,4-diol)]"
2,Melting temp.,C,4,57.0,P090055,C14H20O4,"poly[(decanedioic acid)-alt-(but-2-yne-1,4-diol)]"
1,Melting temp.,C,3,93.5,P090058,C14H22O4,"poly(hexamethylene 1,4-cyclohexylenedicarboxylate)"
1,Glass transition temp.,C,4,65.0,P090060,C10H8O4,poly(ethylene phthalate)
2,Melting temp.,C,3,83.5,P090060,C10H8O4,poly(ethylene phthalate)
1,Glass transition temp.,C,5,143.5,P090061,C14H8O4,poly(m-phenylene isophthalate)
2,Melting temp.,C,2,228.0,P090061,C14H8O4,poly(m-phenylene isophthalate)
1,Glass transition temp.,C,4,168.5,P090062,C25H22O4,"poly[4,4'-isopropylidenedi(3-methylphenylene) terephthalate]"
